date,close,ma_50,ma_200,crossover_type,return_3d,return_5d,return_10d
2015-03-10,36.275,38.102592,38.1920255,Bearish,-0.015465196416264648,-0.007851137146795195,0.02070020675396278
2015-06-04,40.2721,39.005644,38.9937835,Bullish,-0.015313331065427427,0.001725760514102781,0.007767163867789195
2016-06-28,44.1413,45.632889999999996,45.733985999999994,Bearish,0.03479054762773193,0.039239895517349854,0.08232426321834652
2016-08-01,50.5161,46.79179,46.744770499999994,Bullish,0.014316227895661005,0.02615799715338274,0.02721904501733108
2019-02-12,100.548,98.51094,98.517278,Bearish,0.01244181883279638,0.006713211600429592,0.05387476628078125
2019-03-07,104.283,99.70330799999999,99.69886000000001,Bullish,0.02926651515587375,0.0380503054189083,0.08904615325604359
2022-03-16,286.966,291.35880000000003,292.02812,Bearish,0.016204010231177124,0.017322609647135945,0.06613675487688431
2023-03-20,267.968,248.02468000000002,247.45433,Bullish,0.019946411511822193,0.015244357535227904,0.05509986267016953
2024-11-29,422.613,419.47376,419.67014,Bearish,0.032966330898481555,0.047487890812634825,0.05622638205639685
2024-12-11,448.091,421.2826,421.115745,Bullish,0.005791234369804332,-0.025834038175281404,-0.02423168508182494
