date,close,daily_return,month
2014-01-02,30.9964,-0.006684826149655376,1
2014-01-03,30.7879,-0.006726587603721801,1
2014-01-06,30.1373,-0.021131678354158634,1
2014-01-07,30.3708,0.00774787389713083,1
2014-01-08,29.8286,-0.017852674279241865,1
2014-01-09,29.6368,-0.006430070469281235,1
2014-01-10,30.0622,0.01435377638611457,1
2014-01-13,29.178,-0.029412351724092067,1
2014-01-14,29.8453,0.022869970525738692,1
2014-01-15,30.6628,0.027391247533112395,1
2014-01-16,30.7712,0.003535228354879516,1
2014-01-17,30.3458,-0.013824615224625636,1
2014-01-21,30.1706,-0.00577345135076357,1
2014-01-22,29.9704,-0.006635598894287775,1
2014-01-23,30.0789,0.0036202386354535765,1
2014-01-24,30.7045,0.02079863292873063,1
2014-01-27,30.0538,-0.021192333371329974,1
2014-01-28,30.254,0.006661387245539663,1
2014-01-29,30.5794,0.010755602564950006,1
2014-01-30,30.7462,0.005454652478465993,1
2014-01-31,31.5636,0.026585399171279667,1
2014-02-03,30.4292,-0.03594013357158243,2
2014-02-04,30.3208,-0.003562367725737259,2
2014-02-05,29.8787,-0.014580749848288943,2
2014-02-06,30.179,0.010050638079970087,2
2014-02-07,30.4959,0.01050067928029419,2
2014-02-10,30.6961,0.006564816909814253,2
2014-02-11,31.0048,0.010056652147992784,2
2014-02-12,31.255,0.00806971823717606,2
2014-02-13,31.3718,0.0037370020796672065,2
2014-02-14,31.3801,0.000264568816580546,2
2014-02-18,31.4474,0.002144671304425305,2
2014-02-19,31.523,0.002404014322328729,2
2014-02-20,31.7247,0.006398502680582396,2
2014-02-21,31.918,0.00609304422106427,2
2014-02-24,31.6743,-0.007635190174822948,2
2014-02-25,31.5482,-0.003981145597534819,2
2014-02-26,31.4894,-0.0018638147342796563,2
2014-02-27,31.8171,0.010406676532420445,2
2014-02-28,32.1953,0.011886689861741129,2
2014-03-03,31.7499,-0.01383431743142638,3
2014-03-04,32.2793,0.016674068264781905,3
2014-03-05,32.0272,-0.007809958704184994,3
2014-03-06,32.0608,0.0010491082579806577,3
2014-03-07,31.8507,-0.006553173969458093,3
2014-03-10,31.7835,-0.002109843739698025,3
2014-03-11,31.9516,0.005288907766608508,3
2014-03-12,32.1617,0.0065755705504577655,3
2014-03-13,31.8423,-0.009931067076678235,3
2014-03-14,31.6827,-0.005012200751830176,3
2014-03-17,31.9768,0.009282668459443144,3
2014-03-18,33.2374,0.039422331190112736,3
2014-03-19,33.0021,-0.007079374439637354,3
2014-03-20,33.8929,0.02699222170710347,3
2014-03-21,33.75,-0.004216222276641979,3
2014-03-24,34.0357,0.008465185185185131,3
2014-03-25,33.9013,-0.003948794941781686,3
2014-03-26,33.4391,-0.013633695463005746,3
2014-03-27,33.0777,-0.010807707145228274,3
2014-03-28,33.8677,0.02388315995368484,3
2014-03-31,34.4475,0.0171195563914881,3
2014-04-01,34.8089,0.01049132738224845,4
2014-04-02,34.7501,-0.0016892231584449968,4
2014-04-03,34.4643,-0.008224436764210807,4
2014-04-04,33.5063,-0.027796879669687136,4
2014-04-07,33.4475,-0.0017548938557825355,4
2014-04-08,33.4643,0.0005022796920548522,4
2014-04-09,34.0105,0.016321871367397378,4
2014-04-10,33.0777,-0.027426824069037514,4
2014-04-11,32.9516,-0.0038122360381768194,4
2014-04-14,32.9264,-0.0007647580087157824,4
2014-04-15,33.4055,0.014550634141600627,4
2014-04-16,33.9517,0.01635060094894558,4
2014-04-17,33.624,-0.009651946736098593,4
2014-04-21,33.5651,-0.0017517249583630656,4
2014-04-22,33.6072,0.0012542789981260238,4
2014-04-23,33.355,-0.007504344307172284,4
2014-04-24,33.4979,0.004284215260081048,4
2014-04-25,33.5399,0.0012538099403247571,4
2014-04-28,34.3467,0.024054931588943118,4
2014-04-29,34.0442,-0.00880725076936073,4
2014-04-30,33.9517,-0.0027170560624127926,4
2014-05-01,33.6156,-0.009899357027777778,5
2014-05-02,33.355,-0.007752353074168106,5
2014-05-05,33.1365,-0.00655074201768846,5
2014-05-06,32.8256,-0.009382403090247848,5
2014-05-07,33.1281,0.009215368492883735,5
2014-05-08,33.313,0.005581364460986338,5
2014-05-09,33.229,-0.0025215381382643898,5
2014-05-12,33.5903,0.010873032592012999,5
2014-05-13,34.2082,0.018395191468965733,5
2014-05-14,34.0558,-0.004455072175677199,5
2014-05-15,33.5142,-0.01590331162386427,5
2014-05-16,33.7088,0.005806493963752546,5
2014-05-19,33.6411,-0.002008377634326819,5
2014-05-20,33.5819,-0.0017597522078649508,5
2014-05-21,34.1489,0.01688409530133783,5
2014-05-22,33.9373,-0.006196392855992383,5
2014-05-23,33.9543,0.0005009237623501139,5
2014-05-27,34.0135,0.0017435199665432055,5
2014-05-28,33.8612,-0.004477633880665133,5
2014-05-29,34.1404,0.00824542544268958,5
2014-05-30,34.6482,0.014873873768321388,5
2014-06-02,34.5213,-0.0036625279235287245,6
2014-06-03,34.0981,-0.01225909800615832,6
2014-06-04,34.1235,0.0007449095404141737,6
2014-06-05,34.8767,0.022072765103227976,6
2014-06-06,35.1053,0.006554519206232179,6
2014-06-09,34.9275,-0.005064762300849068,6
2014-06-10,34.7921,-0.003876601531744406,6
2014-06-11,34.5805,-0.006081840417795914,6
2014-06-12,34.3436,-0.006850681742600506,6
2014-06-13,34.8937,0.016017540385981688,6
2014-06-16,35.1222,0.006548460037198556,6
2014-06-17,35.2745,0.004336288729066107,6
2014-06-18,35.2491,-0.0007200669038541774,6
2014-06-19,35.1306,-0.0033617879605436496,6
2014-06-20,35.2745,0.004096144102292643,6
2014-06-23,35.5369,0.007438801400445172,6
2014-06-24,35.3338,-0.005715186186752486,6
2014-06-25,35.5707,0.006704628429436088,6
2014-06-26,35.3084,-0.0073740466170191254,6
2014-06-27,35.7569,0.012702359778409722,6
2014-06-30,35.2914,-0.01301846636593218,6
2014-07-01,35.4353,0.004077480632675323,7
2014-07-02,35.4607,0.0007167993498009562,7
2014-07-03,35.3761,-0.0023857397062100327,7
2014-07-07,35.5369,0.00454544169651272,7
2014-07-08,35.3591,-0.005003250142809446,7
2014-07-09,35.2661,-0.00263015744178996,7
2014-07-10,35.283,0.0004792137491811399,7
2014-07-11,35.6215,0.009593855397783457,7
2014-07-14,35.6638,0.001187485086254103,7
2014-07-15,35.9262,0.007357600704355649,7
2014-07-16,37.3057,0.03839816067382573,7
