date,open,high,low,close,volume,daily_return,ma_5,ma_10,ma_20,ma_50,ma_200,std_5,std_10,std_20,momentum_3,momentum_7,rolling_return_3,rolling_return_7,rsi_14,macd,macd_signal,bollinger_width,volume_change,volume_ma_5,price_gap,close_to_ma50,close_to_ma200,ma_gap_5_20,close_to_range,rolling_max_10,rolling_min_10,volatility_regime,rsi_volatility_interaction,weekday,month,day,target
1986-03-13,0.0544,0.0624,0.0544,0.0597,2200424,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.6625000000000008,,,0,,3,3,13,1
1986-03-14,0.0597,0.0629,0.0597,0.0619,657726,0.03685092127303169,,,,,,,,,,,,,,0.0001754985754985755,3.5099715099715104e-05,,-0.7010912442329297,,0.0,,,,0.6874999999999992,,,0,,4,3,14,1
1986-03-17,0.0619,0.0635,0.0619,0.0629,284033,0.016155088852988664,,,,,,,,,,,,,,0.00039076955544192077,0.00010623368316815625,,-0.5681590814412081,,0.0,,,,0.6249999999999989,,,0,,0,3,17,0
1986-03-18,0.0629,0.0634,0.0608,0.0613,144528,-0.025437201907790086,,,,,,,,,0.0015999999999999973,,0.02680067001675046,,,0.0004273406131702698,0.00017045506916857898,,-0.4911577175891534,,0.0,,,,0.19230769230769262,,,0,,1,3,18,0
1986-03-19,0.0613,0.0619,0.0597,0.0603,102221,-0.01631321370309957,0.06122,,,,,,,,-0.0015999999999999973,,-0.025848142164781818,,,0.00037135109300678176,0.00021063427393621954,,-0.2927252850658696,677786.4,0.0,,,,0.2727272727272719,,,0,,2,3,19,0
1986-03-20,0.0603,0.0603,0.0581,0.0587,124714,-0.026533996683250405,0.06102,,,,,0.028237902463552407,,,-0.004199999999999995,,-0.06677265500794904,,,0.0001956174109071021,0.00020763090133039608,,0.22004284833840404,262644.4,0.0,,,,0.27272727272727415,,,0,,3,3,20,0
1986-03-21,0.0587,0.0597,0.056,0.0571,128029,-0.027257240204429323,0.06006,,,,,0.018443995663403365,,,-0.004200000000000002,,-0.068515497553018,,,-7.193025923831614e-05,0.00015171866921665365,,0.02658081690908798,156705.0,0.0,,,,0.29729729729729626,,,0,,4,3,21,0
1986-03-24,0.0571,0.0571,0.0549,0.0555,139334,-0.028021015761821366,0.05858,,,,,0.004790955869347577,,,-0.004799999999999999,-0.004200000000000002,-0.07960199004975121,-0.07035175879396993,,-0.00040836298930393977,3.970233751253496e-05,,0.08830030696170388,127765.2,0.0,,,,0.27272727272727415,,,0,,0,3,24,1
1986-03-25,0.0555,0.0565,0.0549,0.0565,68414,0.018018018018018056,0.057620000000000005,,,,,0.019618337765710418,,,-0.0022000000000000006,-0.005399999999999995,-0.03747870528109032,-0.08723747980613883,,-0.0005875240970271076,-8.574294939539355e-05,,-0.508992779938852,112542.4,0.0,,,,1.0,,,0,,1,3,25,1
1986-03-26,0.0565,0.0587,0.056,0.0581,48519,0.02831858407079646,0.057179999999999995,0.059199999999999996,,,,0.02787056811586618,,,0.0010000000000000009,-0.004799999999999999,0.017513134851138368,-0.07631160572337037,,-0.000593561727328426,-0.00018730670498200006,,-0.29080305200689915,101802.0,0.0,,,,0.7777777777777767,0.0629,0.0555,0,,2,3,26,1
